Publication Effective Date: 07/26/2017 09:15:42 AM

Ratesheet Name,Product,Rate,15 Days Lock,30 Days Lock,45 Days Lock,60 Days Lock,75 Days Lock,90 Days Lock
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.750,0.860,0.860,0.860,0.860,,1.235
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.875,0.248,0.248,0.248,0.248,,0.623
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.990,-0.288,-0.242,-0.224,-0.224,,0.151
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.000,-0.392,-0.345,-0.298,-0.272,,0.103
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.125,-0.879,-0.832,-0.785,-0.735,,-0.360
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.250,-1.478,-1.431,-1.384,-1.334,,-0.959
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.375,-1.959,-1.912,-1.865,-1.815,,-1.440
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.500,-2.401,-2.331,-2.261,-2.186,,-1.811
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.625,-2.865,-2.795,-2.724,-2.649,,-2.274
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.750,-3.412,-3.342,-3.271,-3.196,,-2.821
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.875,-3.835,-3.764,-3.694,-3.619,,-3.244
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.990,-4.164,-4.093,-4.023,-3.948,,-3.573
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.000,-4.069,-3.999,-3.928,-3.853,,-3.478
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.125,-4.232,-4.139,-4.045,-3.945,,-3.570
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.250,-4.722,-4.628,-4.535,-4.435,,-4.060
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.375,-5.095,-5.001,-4.907,-4.807,,-4.432
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.500,-5.397,-5.304,-5.210,-5.110,,-4.735
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.250,2.870,2.940,3.015,3.086,,3.461
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.375,1.869,1.939,2.014,2.085,,2.460
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.450,1.373,1.443,1.518,1.588,,1.963
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.500,1.032,1.103,1.178,1.248,,1.623
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.550,0.687,0.757,0.832,0.903,,1.278
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.625,0.134,0.205,0.280,0.350,,0.725
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.700,-0.348,-0.277,-0.202,-0.132,,0.243
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.750,-0.628,-0.558,-0.483,-0.412,,-0.037
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.800,-0.905,-0.835,-0.760,-0.690,,-0.315
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.875,-1.284,-1.214,-1.139,-1.068,,-0.693
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.950,-1.674,-1.604,-1.529,-1.458,,-1.083
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.990,-1.844,-1.774,-1.699,-1.629,,-1.254
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.000,-1.857,-1.763,-1.683,-1.612,,-1.237
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.050,-2.122,-2.029,-1.929,-1.835,,-1.460
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.125,-2.552,-2.458,-2.358,-2.264,,-1.889
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.200,-2.911,-2.818,-2.718,-2.624,,-2.249
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.250,-3.125,-3.032,-2.932,-2.838,,-2.463
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.300,-3.343,-3.249,-3.149,-3.056,,-2.681
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.375,-3.714,-3.620,-3.520,-3.426,,-3.051
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.450,-4.044,-3.950,-3.850,-3.756,,-3.381
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.500,-4.184,-4.091,-3.991,-3.897,,-3.522
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.550,-4.377,-4.284,-4.184,-4.090,,-3.715
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.625,-4.751,-4.658,-4.558,-4.464,,-4.089
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.700,-5.068,-4.974,-4.874,-4.780,,-4.405
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.750,-5.259,-5.165,-5.065,-4.971,,-4.596
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.800,-5.452,-5.359,-5.259,-5.165,,-4.790
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.875,-5.787,-5.693,-5.593,-5.499,,-5.124
