Publication Effective Date: 07/26/2017 02:42:25 PM

Ratesheet Name,Product,Rate,15 Days Lock,30 Days Lock,45 Days Lock,60 Days Lock,75 Days Lock,90 Days Lock
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.750,0.556,0.626,0.638,0.709,,1.084
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.875,-0.056,0.014,0.027,0.097,,0.472
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.990,-0.529,-0.459,-0.446,-0.376,,-0.001
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.000,-0.596,-0.534,-0.494,-0.424,,-0.049
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.125,-1.083,-1.020,-0.958,-0.891,,-0.516
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.250,-1.682,-1.620,-1.557,-1.490,,-1.115
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.375,-2.163,-2.101,-2.038,-1.972,,-1.597
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.500,-2.558,-2.487,-2.417,-2.342,,-1.967
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.625,-3.021,-2.951,-2.881,-2.806,,-2.431
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.750,-3.568,-3.498,-3.428,-3.353,,-2.978
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.875,-3.991,-3.921,-3.850,-3.775,,-3.400
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.990,-4.320,-4.250,-4.179,-4.104,,-3.729
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.000,-4.225,-4.155,-4.085,-4.010,,-3.635
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.125,-4.341,-4.255,-4.169,-4.078,,-3.703
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.250,-4.831,-4.745,-4.659,-4.568,,-4.193
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.375,-5.203,-5.118,-5.032,-4.940,,-4.565
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.500,-5.506,-5.420,-5.334,-5.243,,-4.868
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.250,2.620,2.691,2.766,2.836,,3.211
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.375,1.619,1.690,1.765,1.835,,2.210
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.450,1.123,1.193,1.268,1.339,,1.714
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.500,0.761,0.839,0.922,0.998,,1.373
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.550,0.408,0.486,0.570,0.648,,1.023
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.625,-0.144,-0.066,0.017,0.095,,0.470
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.700,-0.626,-0.548,-0.465,-0.387,,-0.012
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.750,-0.907,-0.829,-0.745,-0.667,,-0.292
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.800,-1.184,-1.106,-1.022,-0.944,,-0.569
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.875,-1.563,-1.485,-1.401,-1.323,,-0.948
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.950,-1.953,-1.874,-1.791,-1.713,,-1.338
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.990,-2.123,-2.045,-1.962,-1.883,,-1.508
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.000,-2.107,-2.029,-1.945,-1.867,,-1.492
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.050,-2.341,-2.247,-2.147,-2.053,,-1.678
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.125,-2.770,-2.677,-2.577,-2.483,,-2.108
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.200,-3.130,-3.036,-2.936,-2.842,,-2.467
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.250,-3.344,-3.250,-3.150,-3.056,,-2.681
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.300,-3.562,-3.468,-3.368,-3.274,,-2.899
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.375,-3.932,-3.838,-3.738,-3.645,,-3.270
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.450,-4.262,-4.169,-4.069,-3.975,,-3.600
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.500,-4.403,-4.309,-4.209,-4.115,,-3.740
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.550,-4.565,-4.471,-4.371,-4.277,,-3.902
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.625,-4.939,-4.845,-4.745,-4.651,,-4.276
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.700,-5.255,-5.161,-5.061,-4.967,,-4.592
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.750,-5.446,-5.352,-5.252,-5.158,,-4.783
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.800,-5.639,-5.546,-5.446,-5.352,,-4.977
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.875,-5.974,-5.880,-5.780,-5.686,,-5.311
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.950,-6.271,-6.177,-6.077,-5.983,,-5.608
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),4.990,-6.383,-6.289,-6.189,-6.095,,-5.720
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.000,-6.370,-6.277,-6.177,-6.083,,-5.708
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.050,-6.398,-6.343,-6.285,-6.230,,-5.855
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.125,-6.761,-6.707,-6.648,-6.594,,-6.219
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.200,-7.102,-7.048,-6.989,-6.935,,-6.560
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.250,-7.275,-7.220,-7.162,-7.107,,-6.732
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.300,-7.450,-7.395,-7.337,-7.282,,-6.907
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.375,-7.673,-7.618,-7.560,-7.505,,-7.130
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),5.500,-7.975,-7.920,-7.862,-7.807,,-7.432
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),2.750,-0.130,-0.060,-0.048,0.023,,0.398
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),2.875,-0.534,-0.463,-0.451,-0.381,,-0.006
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),2.990,-0.845,-0.775,-0.762,-0.692,,-0.317
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.000,-0.876,-0.806,-0.793,-0.723,,-0.348
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.125,-1.258,-1.196,-1.133,-1.066,,-0.691
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.250,-1.966,-1.895,-1.820,-1.750,,-1.375
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.375,-2.297,-2.227,-2.152,-2.081,,-1.706
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.500,-2.615,-2.544,-2.474,-2.399,,-2.024
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.625,-2.997,-2.927,-2.856,-2.781,,-2.406
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.750,-3.441,-3.370,-3.300,-3.225,,-2.850
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.875,-3.810,-3.740,-3.670,-3.595,,-3.220
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),3.990,-4.125,-4.055,-3.984,-3.909,,-3.534
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),4.000,-4.058,-3.988,-3.917,-3.842,,-3.467
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),4.125,-4.355,-4.269,-4.183,-4.091,,-3.716
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),4.250,-4.753,-4.668,-4.582,-4.490,,-4.115
Dallas Wholesale - Borrower Paid,Conforming Fixed 10 (CF10),4.375,-5.090,-5.004,-4.918,-4.827,,-4.452
