Publication Effective Date: 07/28/2017 08:54:13 AM

Ratesheet Name,Product,Rate,15 Days Lock,30 Days Lock,45 Days Lock,60 Days Lock,75 Days Lock,90 Days Lock
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.750,0.668,0.731,0.797,0.860,,1.235
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.875,0.121,0.183,0.250,0.312,,0.687
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),2.990,-0.329,-0.266,-0.200,-0.137,,0.238
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.000,-0.417,-0.355,-0.288,-0.226,,0.149
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.125,-0.929,-0.866,-0.800,-0.737,,-0.362
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.250,-1.609,-1.538,-1.463,-1.393,,-1.018
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.375,-2.031,-1.960,-1.885,-1.815,,-1.440
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.500,-2.432,-2.354,-2.270,-2.192,,-1.817
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.625,-2.918,-2.840,-2.756,-2.678,,-2.303
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.750,-3.439,-3.361,-3.278,-3.200,,-2.825
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.875,-3.834,-3.756,-3.673,-3.595,,-3.220
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),3.990,-4.162,-4.084,-4.001,-3.923,,-3.548
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.000,-4.035,-3.957,-3.874,-3.796,,-3.421
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.125,-4.255,-4.169,-4.077,-3.991,,-3.616
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.250,-4.722,-4.636,-4.545,-4.459,,-4.084
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.375,-5.091,-5.005,-4.913,-4.827,,-4.452
Dallas Wholesale - Borrower Paid,Conforming Fixed 15 (CF15),4.500,-5.395,-5.309,-5.217,-5.131,,-4.756
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.250,2.704,2.782,2.866,2.944,,3.319
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.375,1.804,1.883,1.966,2.044,,2.419
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.450,1.314,1.392,1.476,1.554,,1.929
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.500,0.826,0.904,0.987,1.065,,1.440
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.550,0.542,0.621,0.704,0.782,,1.157
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.625,0.088,0.166,0.249,0.327,,0.702
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.700,-0.316,-0.245,-0.170,-0.100,,0.275
Dallas Wholesale - Borrower Paid,Conforming Fixed 30 (CF30),3.750,-0.754,-0.676,-0.593,-0.515,,-0.140
